"","Y","year","dist","speed","weighted_uncertainty","global_uncertainty"
"1",1952,"1952 - 1996",22.5246498374629,0.511923859942338,0.0400782326984279,0.064239292140998
"2",1996,"1996 - 2001",8.67838478825221,1.73567695765044,0.298091314460419,0.318890853670692
"3",2001,"2001 - 2006",26.7985984335716,5.35971968671431,0.21496227941803,0.254770730895629
"4",2006,"2006 - 2009",24.8733553453289,8.29111844844295,0.219191836000099,0.21172769022054
"5",2009,"2009 - 2013",9.30039028407447,2.32509757101862,0.172258308796497,0.176777808634617
"6",2013,"2013 - 2016",6.03451173162569,2.0115039105419,0.0889739895566751,0.114645976384384
